date,spot_settlement_usd_per_ton,source,note
2026-02-06,13038.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-02-13,13040.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-02-20,12659.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-02-27,13133.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-03-06,12931.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-03-13,12835.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-03-20,12357.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-03-27,12011.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-04-02,12178.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-04-10,12479.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-04-17,13079.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-04-24,13196.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
