fund_code,manager_name,report_date,rank,stock_name,stock_code,mkt_value_mn_rmb
000411.OF,张仲维,2025-12-31,4,工业富联,601138,65.68
000411.OF,张仲维,2025-12-31,5,沪电股份,002463,64.72
000411.OF,张仲维,2025-12-31,6,宁德时代,300750,51.67
000411.OF,张仲维,2025-12-31,7,源杰科技,688498,47.00
000411.OF,张仲维,2025-12-31,8,胜宏科技,300476,43.60
000411.OF,张仲维,2025-12-31,9,腾景科技,688195,40.89
000411.OF,张仲维,2025-12-31,10,金盘科技,688676,36.19
720001.OF,金梓才,2025-12-31,1,生益科技,600183,280.64
720001.OF,金梓才,2025-12-31,2,中际旭创,300308,278.09
720001.OF,金梓才,2025-12-31,3,胜宏科技,300476,277.99
720001.OF,金梓才,2025-12-31,4,鼎泰高科,301377,277.45
720001.OF,金梓才,2025-12-31,5,新易盛,300502,276.95
720001.OF,金梓才,2025-12-31,6,源杰科技,688498,262.31
720001.OF,金梓才,2025-12-31,7,腾景科技,688195,240.46
720001.OF,金梓才,2025-12-31,8,生益电子,688183,216.42
720001.OF,金梓才,2025-12-31,9,沪电股份,002463,109.83
720001.OF,金梓才,2025-12-31,10,工业富联,601138,28.03
011891.OF,武阳,2025-12-31,1,中际旭创,300308,217.03
011891.OF,武阳,2025-12-31,2,新易盛,300502,208.34
011891.OF,武阳,2025-12-31,3,英维克,002837,192.83
011891.OF,武阳,2025-12-31,4,天孚通信,300394,152.70
011891.OF,武阳,2025-12-31,5,仕佳光子,688313,136.58
011891.OF,武阳,2025-12-31,6,长芯博创,300548,109.84
011891.OF,武阳,2025-12-31,7,源杰科技,688498,89.58
011891.OF,武阳,2025-12-31,8,沪电股份,002463,87.44
011891.OF,武阳,2025-12-31,9,长飞光纤光缆,06869,81.09
011891.OF,武阳,2025-12-31,10,生益电子,688183,77.55
519181.OF,莫海波,2025-12-31,1,兆易创新,603986,110.10
519181.OF,莫海波,2025-12-31,2,中际旭创,300308,102.80
519181.OF,莫海波,2025-12-31,3,新易盛,300502,90.16
519181.OF,莫海波,2025-12-31,4,天孚通信,300394,69.05
519181.OF,莫海波,2025-12-31,5,中国中免,601888,64.07
519181.OF,莫海波,2025-12-31,6,海光信息,688041,58.52
519181.OF,莫海波,2025-12-31,7,巨人网络,002558,46.69
519181.OF,莫海波,2025-12-31,8,世纪华通,002602,42.77
519181.OF,莫海波,2025-12-31,9,潞安环能,601699,37.63
519181.OF,莫海波,2025-12-31,10,华菱钢铁,000932,33.99
001513.OF,郑希,2025-12-31,1,中际旭创,300308,776.23
001513.OF,郑希,2025-12-31,2,新易盛,300502,749.98
001513.OF,郑希,2025-12-31,3,源杰科技,688498,322.97
001513.OF,郑希,2025-12-31,4,深南电路,002916,290.60
001513.OF,郑希,2025-12-31,5,寒武纪,688256,288.55
001513.OF,郑希,2025-12-31,6,生益科技,600183,265.75
001513.OF,郑希,2025-12-31,7,立讯精密,002475,231.13
001513.OF,郑希,2025-12-31,8,东山精密,002384,213.46
001513.OF,郑希,2025-12-31,9,英维克,002837,204.25
001513.OF,郑希,2025-12-31,10,鼎泰高科,301377,172.10
009914.OF,曹晋,2025-12-31,1,中际旭创,300308,87.17
009914.OF,曹晋,2025-12-31,2,新易盛,300502,86.91
009914.OF,曹晋,2025-12-31,3,深南电路,002916,85.77
009914.OF,曹晋,2025-12-31,4,寒武纪,688256,63.05
009914.OF,曹晋,2025-12-31,5,东山精密,002384,60.13
009914.OF,曹晋,2025-12-31,6,生益科技,600183,57.16
009914.OF,曹晋,2025-12-31,7,源杰科技,688498,56.54
009914.OF,曹晋,2025-12-31,8,阿里巴巴-W,09988,46.66
009914.OF,曹晋,2025-12-31,9,腾讯控股,00700,46.40
009914.OF,曹晋,2025-12-31,10,中芯国际,00981,27.01
001323.OF,刘元海,2025-12-31,1,立讯精密,002475,755.94
001323.OF,刘元海,2025-12-31,2,中际旭创,300308,753.35
001323.OF,刘元海,2025-12-31,3,新易盛,300502,745.42
001323.OF,刘元海,2025-12-31,4,兆易创新,603986,724.16
001323.OF,刘元海,2025-12-31,5,德赛西威,002920,723.80
001323.OF,刘元海,2025-12-31,6,豪威集团,603501,715.12
001323.OF,刘元海,2025-12-31,7,沪电股份,002463,533.41
001323.OF,刘元海,2025-12-31,8,水晶光电,002273,517.52
001323.OF,刘元海,2025-12-31,9,蓝思科技,300433,502.48
001323.OF,刘元海,2025-12-31,10,工业富联,601138,469.10
001170.OF,孙硕,2025-12-31,1,源杰科技,688498,217.72
001170.OF,孙硕,2025-12-31,2,中际旭创,300308,216.61
001170.OF,孙硕,2025-12-31,3,新易盛,300502,215.29
001170.OF,孙硕,2025-12-31,4,天孚通信,300394,170.38
001170.OF,孙硕,2025-12-31,5,工业富联,601138,168.54
001170.OF,孙硕,2025-12-31,6,生益科技,600183,128.20
001170.OF,孙硕,2025-12-31,7,鼎泰高科,301377,126.98
001170.OF,孙硕,2025-12-31,8,东山精密,002384,97.47
001170.OF,孙硕,2025-12-31,9,剑桥科技,603083,79.69
001170.OF,孙硕,2025-12-31,10,亨通光电,600487,74.12
000411.OF,张仲维,2026-03-31,1,新易盛,300502,195.48
000411.OF,张仲维,2026-03-31,2,中际旭创,300308,182.95
000411.OF,张仲维,2026-03-31,3,天孚通信,300394,138.06
000411.OF,张仲维,2026-03-31,4,沪电股份,002463,128.31
000411.OF,张仲维,2026-03-31,5,胜宏科技,300476,127.11
000411.OF,张仲维,2026-03-31,6,腾景科技,688195,110.08
000411.OF,张仲维,2026-03-31,7,源杰科技,688498,109.72
000411.OF,张仲维,2026-03-31,8,工业富联,601138,101.85
000411.OF,张仲维,2026-03-31,9,潍柴动力,000338,93.71
000411.OF,张仲维,2026-03-31,10,罗博特科,688665,68.85
720001.OF,金梓才,2026-03-31,1,鼎泰高科,301377,308.62
720001.OF,金梓才,2026-03-31,2,新易盛,300502,307.57
720001.OF,金梓才,2026-03-31,3,生益电子,688183,302.87
720001.OF,金梓才,2026-03-31,4,中际旭创,300308,301.04
720001.OF,金梓才,2026-03-31,5,大族数控,301200,289.45
720001.OF,金梓才,2026-03-31,6,源杰科技,688498,285.54
720001.OF,金梓才,2026-03-31,7,永鼎股份,600105,252.48
720001.OF,金梓才,2026-03-31,8,生益科技,600183,168.29
720001.OF,金梓才,2026-03-31,9,烽火通信,600498,156.93
720001.OF,金梓才,2026-03-31,10,腾景科技,688195,122.32
011891.OF,武阳,2026-03-31,1,长芯博创,300548,435.40
011891.OF,武阳,2026-03-31,2,长飞光纤光缆,06869,432.79
011891.OF,武阳,2026-03-31,3,中际旭创,300308,423.35
011891.OF,武阳,2026-03-31,4,新易盛,300502,423.13
011891.OF,武阳,2026-03-31,5,源杰科技,688498,400.57
011891.OF,武阳,2026-03-31,6,英维克,002837,280.97
011891.OF,武阳,2026-03-31,7,亨通光电,600487,258.34
011891.OF,武阳,2026-03-31,8,东山精密,002384,231.63
011891.OF,武阳,2026-03-31,9,澜起科技,688008,174.59
011891.OF,武阳,2026-03-31,10,天孚通信,300394,171.35
519181.OF,莫海波,2026-03-31,1,中际旭创,300308,95.96
519181.OF,莫海波,2026-03-31,2,新易盛,300502,92.66
519181.OF,莫海波,2026-03-31,3,兆易创新,603986,91.54
519181.OF,莫海波,2026-03-31,4,贵州茅台,600519,61.48
519181.OF,莫海波,2026-03-31,5,中国中免,601888,56.66
519181.OF,莫海波,2026-03-31,6,牧原股份,002714,55.29
519181.OF,莫海波,2026-03-31,7,世纪华通,002602,54.84
519181.OF,莫海波,2026-03-31,8,海光信息,688041,44.82
519181.OF,莫海波,2026-03-31,9,巨人网络,002558,44.69
519181.OF,莫海波,2026-03-31,10,潞安环能,601699,43.22
001513.OF,郑希,2026-03-31,1,新易盛,300502,649.78
001513.OF,郑希,2026-03-31,2,中际旭创,300308,626.46
001513.OF,郑希,2026-03-31,3,源杰科技,688498,559.55
001513.OF,郑希,2026-03-31,4,宁德时代,300750,339.02
001513.OF,郑希,2026-03-31,5,鼎泰高科,301377,311.60
001513.OF,郑希,2026-03-31,6,东山精密,002384,276.80
001513.OF,郑希,2026-03-31,7,亨通光电,600487,231.99
001513.OF,郑希,2026-03-31,8,长飞光纤,601869,218.79
001513.OF,郑希,2026-03-31,9,光库科技,300620,210.70
001513.OF,郑希,2026-03-31,10,中天科技,600522,202.26
009914.OF,曹晋,2026-03-31,1,新易盛,300502,79.58
009914.OF,曹晋,2026-03-31,2,中际旭创,300308,76.70
009914.OF,曹晋,2026-03-31,3,东山精密,002384,73.37
009914.OF,曹晋,2026-03-31,4,贝壳-W,02423,70.66
009914.OF,曹晋,2026-03-31,5,腾讯控股,00700,69.70
009914.OF,曹晋,2026-03-31,6,深南电路,002916,66.32
009914.OF,曹晋,2026-03-31,7,立讯精密,002475,60.00
009914.OF,曹晋,2026-03-31,8,长飞光纤,601869,34.57
009914.OF,曹晋,2026-03-31,9,长飞光纤光缆,06869,28.36
009914.OF,曹晋,2026-03-31,10,德科立,688205,22.59
001323.OF,刘元海,2026-03-31,1,新易盛,300502,792.68
001323.OF,刘元海,2026-03-31,2,立讯精密,002475,788.16
001323.OF,刘元海,2026-03-31,3,中际旭创,300308,768.70
001323.OF,刘元海,2026-03-31,4,沪电股份,002463,752.10
001323.OF,刘元海,2026-03-31,5,德赛西威,002920,682.14
001323.OF,刘元海,2026-03-31,6,胜宏科技,300476,577.30
001323.OF,刘元海,2026-03-31,7,工业富联,601138,540.33
001323.OF,刘元海,2026-03-31,8,赣锋锂业,002460,532.98
001323.OF,刘元海,2026-03-31,9,水晶光电,002273,484.88
001323.OF,刘元海,2026-03-31,10,天赐材料,002709,450.80
001170.OF,孙硕,2026-03-31,1,源杰科技,688498,313.74
001170.OF,孙硕,2026-03-31,2,新易盛,300502,310.23
001170.OF,孙硕,2026-03-31,3,中际旭创,300308,290.85
001170.OF,孙硕,2026-03-31,4,亨通光电,600487,234.71
001170.OF,孙硕,2026-03-31,5,鼎泰高科,301377,197.94
001170.OF,孙硕,2026-03-31,6,生益科技,600183,171.42
001170.OF,孙硕,2026-03-31,7,长芯博创,300548,162.20
001170.OF,孙硕,2026-03-31,8,永鼎股份,600105,121.15
001170.OF,孙硕,2026-03-31,9,江南新材,688489,99.24
001170.OF,孙硕,2026-03-31,10,宏和科技,603536,97.35
